selection_ordinal,query_id,label_kind,ground_truth_siret,reliability,predicted_siret,acceptor_score,decision,prediction_correct,auto_error,error_family,evidence_url
1,13231,AMBIGUOUS,,HIGH,30449785203822,0.125652611,REVIEW,False,False,COLOCATION_GROUPE,https://www.pappers.fr/entreprise/securitas-accueil-702011172
2,12649,MATCH_EXACT,31105112200084,HIGH,31105112200084,0.998455763,AUTO_MATCH,True,False,MULTISITE_RESOLVED_BY_EXACT_ADDRESS,https://www.leshallesmandar.com/contact/
3,11702,MATCH_EXACT,49791530600045,HIGH,49791530600045,0.998316765,AUTO_MATCH,True,False,EXACT_NAME_ADDRESS,https://api-avis-situation-sirene.insee.fr/identification/pdf/49791530600045
4,12383,MATCH_EXACT,44595007400382,HIGH,44595007400382,0.925518513,REVIEW,True,False,GROUP_BRAND_RESOLVED_BY_SITE,https://www.pappers.fr/entreprise/ramery-construction-445950074
5,13806,MATCH_EXACT,40133616900024,HIGH,40133616900024,0.984221578,REVIEW,True,False,EXACT_NAME_ADDRESS,https://www.pappers.fr/entreprise/boreale-401336169
6,fresh:AC010170,AMBIGUOUS,,HIGH,79788286700048,0.786842942,REVIEW,False,False,GROUP_HEADQUARTERS_COLOCATION,https://annuaire-entreprises.data.gouv.fr/entreprise/801363227
7,9536,MATCH_EXACT,32509067800062,HIGH,32509067800062,0.989705563,REVIEW,True,False,FIRST_PARTY_EXACT,https://bdl-promotion-bron.fr/fr/page/mentions-legales
8,16023,MATCH_EXACT,48492277800010,HIGH,48492277800010,0.595869005,REVIEW,True,False,COLOCATION_RESOLVED_BY_NAME,https://www.pappers.fr/entreprise/vente-uniquecom-484922778
9,12206,AMBIGUOUS,,HIGH,66204244943568,0.985580504,REVIEW,False,False,MULTI_ENTITY_OFFICE,https://www.societe.com/societe/bnp-paribas-personal-finance-542097902.html
10,13687,MATCH_EXACT,78601858000039,HIGH,78601858000039,0.998064339,AUTO_MATCH,True,False,EXACT_NAME_ADDRESS,https://www.pappers.fr/entreprise/federation-du-batiment-de-loire-atlantique-786018580
11,13820,MATCH_EXACT,45402394600220,HIGH,45402394600493,0.695852757,REVIEW,False,False,RESIDENCE_OPERATOR_VS_OWNERS,https://www.capwestresidence.fr/pdf/tarifs-la-chapelle-sur-erdre-leinster-fr.pdf
12,13801,MATCH_EXACT,30239426700140,MEDIUM,40326772701042,0.0256031174,REVIEW,False,False,HOTEL_OPERATOR_VS_HR_GIE,https://all.accor.com/hotel/1394/index.fr.shtml
13,9115,AMBIGUOUS,,HIGH,33453797400035,0.385130525,REVIEW,False,False,ACTIVE_HOMONYMS_COLOCATED,https://www.pappers.fr/entreprise/sandvik-mining-and-construction-france-sas-334537974
14,12635,MATCH_EXACT,79085782500026,HIGH,79085782500026,0.992702961,REVIEW,True,False,MULTI_SITE_EXACT_ADDRESS,https://www.dewaflex.com/contact
15,15763,MATCH_EXACT,79213618600022,HIGH,77812868600111,0.870763421,REVIEW,False,False,LEGAL_SUCCESSOR_AFTER_CROSS_BORDER_MERGER,https://api-avis-situation-sirene.insee.fr/identification/pdf/79213618600022
16,13893,MATCH_EXACT,42901934200030,HIGH,42901934200030,0.995999098,AUTO_MATCH,True,False,EXACT_NAME_ADDRESS,https://www.lephare.com/mentions-legales/
17,fresh:AC016534,MATCH_EXACT,34861871100058,HIGH,34861871100058,0.850941718,REVIEW,True,False,COLOCATED_ENTITY_RESOLVED_BY_NETWORK_NAME,https://www.pappers.fr/entreprise/msd-ass-multi-services-developpement-348618711
18,15981,MATCH_EXACT,32445680500070,HIGH,32445680500070,0.997675478,AUTO_MATCH,True,False,TRANSFERRED_SEAT_ACTIVE_BRANCH,https://annuaire-entreprises.data.gouv.fr/entreprise/324456805
19,fresh:AC018843,MATCH_EXACT,77568873209823,HIGH,77568873209823,0.268871933,REVIEW,True,False,FACILITY_RENAMING_IEM_TO_DIEM,https://taxe-apprentissage.apf-francehandicap.org/structure/iem-rhone/
20,fresh:FR029062,MATCH_EXACT,90397886400036,MEDIUM,90397886400036,0.996214449,AUTO_MATCH,True,False,ADDRESS_NUMBER_VARIANT_CURRENT_SIRENE,https://www.pappers.fr/entreprise/verbau-france-903978864
21,9283,MATCH_EXACT,19690045000012,HIGH,19690045000012,0.997835338,AUTO_MATCH,True,False,EXACT_PUBLIC_ESTABLISHMENT,https://www.education.gouv.fr/annuaire/69008/lyon/lycee/0690045z/lycee-professionnel-jean-lurcat.html
22,10612,AMBIGUOUS,,HIGH,42473713800059,0.0848128572,REVIEW,False,False,COLOCATED_BRAND_ENTITIES,https://catalog.kingtony.eu/fr/content/2-mentions-legales
23,9643,MATCH_EXACT,77564996500149,HIGH,77564996500149,0.998637021,AUTO_MATCH,True,False,TRADE_NAME_LEGAL_NAME_VARIANT,https://www.reseaubesson.com/Lug?content=mentions
24,11059,AMBIGUOUS,,HIGH,39449666500057,0.547737241,REVIEW,False,False,COLOCATED_NETWORK_ENTITIES,https://www.pappers.fr/entreprise/j3d-technique-piscines-433030319
25,fresh:FR017175,MATCH_EXACT,34420651100216,HIGH,34420651100497,0.771428406,REVIEW,False,False,MULTI_SITE_NETWORK_EXACT_LOCATION,https://annuaire-entreprises.data.gouv.fr/etablissement/34420651100216
26,13945,MATCH_EXACT,38867050700036,HIGH,38867050700036,0.610428572,REVIEW,True,False,EXACT_LEGAL_NAME_DESPITE_RELATED_COLOCATION,https://www.pappers.fr/entreprise/strategie-finance-patrimoine-388670507
27,15363,MATCH_EXACT,82807079700034,HIGH,82807079700034,0.997810662,AUTO_MATCH,True,False,EXACT_NAME_ADDRESS,https://www.leboncoin.fr/boutique/336063/vtm_auto.htm
28,12122,MATCH_EXACT,49862097000018,HIGH,49862097000018,0.643034518,REVIEW,True,False,SUCCESSOR_BY_MERGER,https://rukolinglin.com/mentions-legales/
29,13516,MATCH_EXACT,33226488600026,HIGH,33226488600026,0.990983248,REVIEW,True,False,EXACT_NAME_ADDRESS,https://www.gueguenavocats.com/mentions-legales/
30,fresh:FR028144,MATCH_EXACT,48342969200039,HIGH,48342969200039,0.99203521,REVIEW,True,False,CURRENT_TRANSFERRED_SITE,https://www.societe.com/societe/impact-centre-chretien-483429692.html
31,10522,MATCH_EXACT,44513584100036,HIGH,44513584100036,0.997350812,AUTO_MATCH,True,False,EXACT_NAME_ADDRESS,https://www.edipack.fr/edipack-competences.html
32,4800,MATCH_EXACT,83357127600017,HIGH,83357127600017,0.998866796,AUTO_MATCH,True,False,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/entreprise/samfi-ingenierie-833571276
33,fresh:AC012478,MATCH_EXACT,83228542300022,HIGH,83228542300022,0.999040306,AUTO_MATCH,True,False,LEGAL_FORM_PREFIX_VARIANT,https://www.pappers.fr/entreprise/de-belval-832285423
34,11579,MATCH_EXACT,48256061200020,MEDIUM,48256061200020,0.228267387,REVIEW,True,False,COLOCATION_DISAMBIGUATED_BY_LOCAL_SITE,https://www.mdcs-groupe.com/contact/
35,11678,MATCH_EXACT,42013544400024,HIGH,42013544400024,0.942498624,REVIEW,True,False,EXACT_NAME_ADDRESS,https://www.stbenoitimmo.com/agences/saint-benoit-immobilier-aniane/39
36,15098,MATCH_EXACT,44898994700024,HIGH,44898994700024,0.942526996,REVIEW,True,False,STREET_TYPE_VARIANT,https://api-avis-situation-sirene.insee.fr/identification/pdf/44898994700024
37,fresh:FR031463,MATCH_EXACT,78518378100034,HIGH,78518378100034,0.978772759,REVIEW,True,False,DEPARTMENT_NAME_VARIANT,https://annuaire-entreprises.data.gouv.fr/entreprise/785183781
38,11560,MATCH_EXACT,75184244400026,HIGH,75184244400026,0.994396925,AUTO_MATCH,True,False,EXACT_NAME_ADDRESS,https://www.societe.com/societe/jlv-promotion-751842444.html
39,fresh:FR018872,MATCH_EXACT,50827119400021,MEDIUM,51137608900021,0.614142478,REVIEW,False,False,SUCCESSOR_BY_MERGER_COLOCATION,https://annuaire-entreprises.data.gouv.fr/entreprise/lea-et-leo-grand-ouest-508271194
